"Job","Actual cost of labor and materials","Actual cost of labor and materials per unit","Actual gross margin","Actual gross profit","Actual Job end date","Actual Job start date","Actual Labor cost","Actual Labor cost per person hour","Actual Labor cost per unit","Actual labor margin","Actual labor profit","Actual machine cost","Actual machine cost per unit","Actual materials cost","Actual materials cost per unit","Actual person hours","Actual person hours payable","Actual person hours per unit","Actual person hours productive","Actual total cost","Actual total cost per unit","Actual total margin","Actual total profit","Actual units per person hour","Availability","Customer name","Duration","Estimate name","Expected cost of labor and materials","Expected cost of labor and materials per unit","Expected gross margin","Expected gross profit","Expected Labor cost","Expected Labor cost per unit","Expected Labor margin","Expected Labor profit","Expected materials cost","Expected materials cost per unit","Expected total charge","Expected total charge per unit","Expected total cost","Expected total cost per unit","Expected total margin","Expected total profit","Invoice ID","Invoiced","Invoice date","Item alternate code 1","Item alternate code 2","Item category name","Item class","Item code","Item Customer","Item description","Item family name","Item type","Job comments","Job reference","Job status","Labor charge","Labor charge per person hour","Labor charge per unit","Labor percentage of charge","Line Efficiency","Line leader name","Line name","Machine hours","Machine Hours per unit","Machine hours productive","Materials charge","Materials charge per unit","Number of personnel","Number of Time Records","Overhead charge","Overhead charge per unit","Overhead cost","Overhead cost per unit","Performance","Project code","Project description","Project ID","Project reference 1","Project reference 2","Project Reference 3","Reconciliation completed at","Reconciliation status","Scenario name","Service Category","Signed Off","Site name","Standard people","Standard person hours","Standard Person Hours per unit","Standard units per hour","Total charge","Total charge per unit","Unit of measure","Units expected","Units produced","Units remaining"
"4010551","1064.44","1.52063","-45.65%","-333.64","2020-Jan-17 07:00 PM","2020-Jan-17 03:15 PM","332.25","17.58","0.47465","54.36%","395.75","0.00","0.00000","732.19","1.04598","21.75","18.90","0.02399","16.80","1064.44","1.52063","-45.65%","-333.64","41.68","88.89%","Conagra","3.75","1601201112 - L2/L6","0.00","0.00000","100.00%","728.00","0.00","0.00000","100.00%","728.00","0.00","0.00000","728.00","1.04","0.00","0.00000","-46.21%","-336.44","","No","","1601201112","","","","CONAGRA-WC-15","Conagra","1601201112 Bigs 12Ct/5.00Oz Ss Pumpkin Seeds","","Finished Good","","","Stopped","728.00","33.47","1.04000","45.46%","108.95%","","L6","","0.00000","0.00","0.00","0.00000","6.00","6","0.00","0.00000","0.00","0.00000","122.58%","1601201112 - 3210882-10","","2063475","","","","2020-Jan-17 07:17 PM","Reconciliation complete","L - 1601201112","","No","West Chicago","5.00000","20.59","0.02941","170.00000","730.80","1.04400","cs","700.00000","700.00000","0.00"
"4010579","870.65","0.70899","61.88%","1413.44","2020-Jan-18 02:00 AM","2020-Jan-17 03:15 PM","860.90","17.22","0.70105","62.31%","1423.19","0.00","0.00000","9.75","0.00794","52.50","50.00","0.03528","43.32","870.65","0.70899","61.88%","1413.44","28.35","92.13%","Cargill","10.75","110002924 - C2","0.00","0.00000","100.00%","2284.08","0.00","0.00000","100.00%","2284.08","0.00","0.00000","2284.08","1.86","0.00","0.00000","61.88%","1413.44","","No","","110002924","","","","CARGILL-WC-02","Cargill","110002924 Truvia Baking Blend 8/24Oz Case","","Finished Good","","","Stopped","2284.08","43.51","1.86000","37.69%","108.82%","","C2","","0.00000","0.00","0.00","0.00000","6.00","6","0.00","0.00000","0.00","0.00000","118.11%","110002924 - 4507503537","","2062387","","4507503537","","2020-Jan-18 02:09 AM","Reconciliation complete","L - 110002924","","No","West Chicago","5.00000","51.17","0.04167","120.00000","2284.08","1.86000","cs","1260.00000","1228.00000","32.00"
"4010624","1928.60","1.48468","-42.21%","-572.45","2020-Jan-17 10:15 PM","2020-Jan-17 03:15 PM","564.04","17.86","0.43421","58.25%","786.92","0.00","0.00000","1364.57","1.05048","34.25","31.58","0.01463","19.00","1928.60","1.48468","-42.21%","-572.45","68.37","60.16%","Conagra","7.00","9688700294 - L5","0.00","0.00000","100.00%","1350.96","0.00","0.00000","100.00%","1350.96","0.00","0.00000","1350.96","1.04","0.00","0.00000","-42.76%","-577.64","","No","","9688700294","","","","CONAGRA-WC-74","Conagra","9688700294 Bigs 12Ct/5.35Oz Cracked Pepper Sunflower Seeds","","Finished Good","","","Stopped","1350.96","39.44","1.04000","41.59%","66.34%","","L3","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","110.27%","9688700294 - 3210882-50","","2063466","","","","2020-Jan-17 09:03 PM","Reconciliation complete","L - 9688700294","","No","West Chicago","5.00000","20.95","0.01613","310.00000","1356.16","1.04400","cs","930.00000","1299.00000","-369.00"
"4009927","171.37","1.42808","47.11%","152.63","2020-Jan-17 03:30 PM","2020-Jan-17 01:15 PM","171.37","18.51","1.42808","47.11%","152.63","0.00","0.00000","0.00","0.00000","9.26","9.26","0.06964","8.36","171.37","1.42808","47.11%","152.63","14.36","95.10%","Cargill","2.26","110030116 - C1AMS1/C2AMS1","0.00","0.00000","100.00%","324.00","0.00","0.00000","100.00%","324.00","0.00","0.00000","324.00","2.7","0.00","0.00000","47.11%","152.63","","No","","110030116","","","","CARGILL-WC-11","Cargill","110030116 Truvia 8/17Oz 0 Calorie Case","","Finished Good","","","Stopped","324.00","34.99","2.70000","52.89%","88.52%","","C1","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","93.07%","110030116 - 4507383616","","2069664","","4507383616","","2020-Jan-17 03:29 PM","Reconciliation complete","L - 110030116","","No","West Chicago","7.00000","7.78","0.06481","108.00000","324.00","2.70000","cs","324.00000","120.00000","204.00"
"4008197","3343.09","1.16079","-22.19%","-607.09","2020-Jan-17 03:32 PM","2020-Jan-17 12:15 PM","607.09","16.80","0.21079","77.81%","2128.91","0.00","0.00000","2736.00","0.95000","36.14","36.14","0.01103","31.77","3343.09","1.16079","-22.19%","-607.09","90.65","95.14%","WIT Group","3.29","203-22-0451 - DOUGLAS","0.00","0.00000","100.00%","2736.00","0.00","0.00000","100.00%","2736.00","0.00","0.00000","2736.00","0.95","0.00","0.00000","-22.19%","-607.09","","No","","203-22-0451","","","","WITH-WC-04","WIT Group","203-22-0451 G&G Ginger Peach Spark Water 3Ct/8Pk","","Finished Good","","","Stopped","2736.00","75.70","0.95000","22.19%","118.59%","","DOUGLAS","","0.00000","0.00","0.00","0.00000","11.00","11","0.00","0.00000","0.00","0.00000","124.65%","0451 - GNGRPCH - 011620","","2068878","","","","2020-Jan-17 03:31 PM","Reconciliation complete","L - 203-22-0451","","No","West Chicago","11.00000","39.60","0.01375","800.00000","2736.00","0.95000","cs","2880.00000","2880.00000","0.00"
"4010542","1837.25","0.27348","33.30%","917.13","2020-Jan-18 02:15 AM","2020-Jan-17 10:45 AM","1837.25","17.29","0.27348","33.30%","917.13","0.00","0.00000","0.00","0.00000","106.25","106.25","0.01399","94.00","1837.25","0.27348","33.30%","917.13","71.47","99.04%","Conagra","15.50","7092047682 - SMD1/SMD2","0.00","0.00000","100.00%","2754.38","0.00","0.00000","100.00%","2754.38","0.00","0.00000","2754.38","0.41","0.00","0.00000","33.30%","917.13","","No","","7092047682","","","","CONAGRA-WC-60","Conagra","7092047682 Swiss Miss 6/8Ct Milk Choc 1.38Oz - Downcount","","Finished Good","","","Stopped","2754.38","25.92","0.41000","66.70%","88.48%","","PAM1","","0.00000","0.00","0.00","0.00000","9.00","13","0.00","0.00000","0.00","0.00000","89.34%","7092047682 - 3206958","","2066150","","","","2020-Jan-18 02:02 AM","Reconciliation complete","L - 7092047682","","No","West Chicago","9.00000","83.98","0.01250","720.00000","2754.38","0.41000","cs","6120.00000","6718.00000","-598.00"
"4008717","2250.88","1.39632","-33.75%","-567.95","2020-Jan-17 03:31 PM","2020-Jan-17 08:00 AM","564.44","17.09","0.35015","66.33%","1112.04","0.00","0.00000","1686.43","1.04618","35.53","33.03","0.01839","29.64","2250.88","1.39632","-33.75%","-567.95","54.39","92.91%","Conagra","7.53","1601201112 - L2/L6","0.00","0.00000","100.00%","1676.48","0.00","0.00000","100.00%","1676.48","0.00","0.00000","1676.48","1.04","0.00","0.00000","-34.26%","-574.40","","No","","1601201112","","","","CONAGRA-WC-15","Conagra","1601201112 Bigs 12Ct/5.00Oz Ss Pumpkin Seeds","","Finished Good","","","Stopped","1676.48","47.18","1.04000","33.54%","148.62%","","L6","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","159.96%","1601201112 - 3210882-10","","2063475","","","","2020-Jan-17 03:29 PM","Reconciliation complete","L - 1601201112","","No","West Chicago","5.00000","47.41","0.02941","170.00000","1682.93","1.04400","cs","1500.00000","1612.00000","-112.00"
"4008710","1063.54","1.54584","61.55%","1702.22","2020-Jan-17 03:30 PM","2020-Jan-17 06:30 AM","1063.54","16.49","1.54584","61.55%","1702.22","0.00","0.00000","0.00","0.00000","69.50","64.49","0.08411","57.86","1063.54","1.54584","61.55%","1702.22","11.89","98.02%","Cargill","9.00","110027179 - C3","0.00","0.00000","100.00%","2765.76","0.00","0.00000","100.00%","2765.76","0.00","0.00000","2765.76","4.02","0.00","0.00000","61.55%","1702.22","","No","","110027179","","","","CARGILL-WC-09","Cargill","110027179 Truvia 6/30Ct 2G Case","","Finished Good","","","Stopped","2765.76","39.80","4.02000","38.45%","128.20%","","C3","","0.00000","0.00","0.00","0.00000","12.00","12","0.00","0.00000","0.00","0.00000","130.79%","110027179 - 4507628654","THIS IS FEB PRODUCTION PO. I'VE UPDATED MATERIAL AVAIL DATE TO 1/24, AS WE'RE EXPECTING MORE WIP AND CARTONS ON 1/17 AND MORE BOXES ON 1/24. - AO","2062482","","4507628654","","2020-Jan-17 03:35 PM","Reconciliation complete","L - 110027179","","No","West Chicago","11.00000","75.68","0.11000","100.00000","2765.76","4.02000","cs","850.00000","688.00000","162.00"
"3997043","878.61","0.64699","65.22%","1647.27","2020-Jan-17 03:30 PM","2020-Jan-17 04:30 AM","868.71","17.22","0.63970","65.61%","1657.17","0.00","0.00000","9.90","0.00729","53.00","50.44","0.03416","46.39","878.61","0.64699","65.22%","1647.27","29.27","97.59%","Cargill","11.00","110002924 - C2","0.00","0.00000","100.00%","2525.88","0.00","0.00000","100.00%","2525.88","0.00","0.00000","2525.88","1.86","0.00","0.00000","65.22%","1647.27","","No","","110002924","","","","CARGILL-WC-02","Cargill","110002924 Truvia Baking Blend 8/24Oz Case","","Finished Good","","","Stopped","2525.88","47.66","1.86000","34.39%","119.02%","","C2","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","121.97%","110002924 - 4507503537","","2062387","","4507503537","","2020-Jan-17 03:26 PM","Reconciliation complete","L - 110002924","","No","West Chicago","5.00000","56.58","0.04167","120.00000","2525.88","1.86000","cs","1260.00000","1358.00000","-98.00"
"4007770","718.29","0.85511","61.27%","1136.43","2020-Jan-17 03:45 PM","2020-Jan-17 04:30 AM","718.29","17.56","0.85511","61.27%","1136.43","0.00","0.00000","0.00","0.00000","43.00","40.91","0.04507","37.86","718.29","0.85511","61.27%","1136.43","22.19","98.29%","Ford Gum","11.25","00103 - L5","0.00","0.00000","100.00%","1854.72","0.00","0.00000","100.00%","1854.72","0.00","0.00000","1854.72","2.208","0.00","0.00000","61.27%","1136.43","","No","","00103-TRAYR1","","","","FGUM-WC-03","Ford Gum","00103-TRAYR1 Cinnamon Military Energy Gum","","Finished Good","","","Stopped","1854.72","43.13","2.20800","38.73%","109.04%","","L5","","0.00000","0.00","0.00","0.00000","4.00","4","0.00","0.00000","0.00","0.00000","110.94%","00103 - CINN - 010620","","2067756","","","","2020-Jan-17 03:38 PM","Reconciliation complete","L - 00103","","No","West Chicago","4.00000","42.00","0.05000","80.00000","1854.72","2.20800","tr","840.00000","840.00000","0.00"
"4008192","6266.42","1.18817","-25.07%","-1256.12","2020-Jan-17 12:11 PM","2020-Jan-17 04:30 AM","1256.12","16.83","0.23817","74.93%","3754.18","0.00","0.00000","5010.30","0.95000","80.14","74.64","0.01140","60.15","6266.42","1.18817","-25.07%","-1256.12","87.69","84.74%","WIT Group","7.69","203-22-0460 - DOUGLAS","0.00","0.00000","100.00%","5010.30","0.00","0.00000","100.00%","5010.30","0.00","0.00000","5010.30","0.95","0.00","0.00000","-25.07%","-1256.12","","No","","203-22-0460","","","","WITH-WC-07","WIT Group","203-22-0460 G&G Straw Mango Spark Water 3Ct/8Pk","","Finished Good","","","Stopped","5010.30","62.52","0.95000","25.07%","102.17%","","DOUGLAS","","0.00000","0.00","0.00","0.00000","11.00","11","0.00","0.00000","0.00","0.00000","120.57%","0460 - STRWMNGO - 011520","","2066240","","","","2020-Jan-17 12:11 PM","Reconciliation complete","L - 203-22-0460","","No","West Chicago","11.00000","72.52","0.01375","800.00000","5010.30","0.95000","cs","5277.00000","5274.00000","3.00"
"4008534","1443.63","0.31012","20.68%","376.48","2020-Jan-17 03:40 PM","2020-Jan-17 04:30 AM","1443.63","16.35","0.31012","20.68%","376.48","0.00","0.00000","0.00","0.00000","92.67","88.29","0.01525","71.01","1443.63","0.31012","20.68%","376.48","65.56","85.59%","Conagra","11.17","7092047688D - SMD1/SMD2","0.00","0.00000","100.00%","1820.11","0.00","0.00000","100.00%","1820.11","0.00","0.00000","1820.11","0.391","0.00","0.00000","20.68%","376.48","","No","","7092047688D","","","","CONAGRA-WC-66","Conagra","7092047688D Swiss Miss 4/30Ct Marshmallow - Downcount","","Finished Good","","","Stopped","1820.11","19.64","0.39100","79.32%","115.46%","","JS2","","0.00000","0.00","0.00","0.00000","12.00","13","0.00","0.00000","0.00","0.00000","134.89%","7092047688D - 3203741-50","","2063167","","","","2020-Jan-17 03:36 PM","Reconciliation complete","L - 7092047688D","","No","West Chicago","10.00000","95.78","0.02058","486.00000","1820.11","0.39100","cs","5103.00000","4655.00000","448.00"
"4008544","1220.06","1.10814","-29.00%","-274.30","2020-Jan-17 08:00 AM","2020-Jan-17 04:30 AM","272.36","17.29","0.24738","71.24%","674.50","0.00","0.00000","947.70","0.86076","15.75","15.75","0.01248","13.74","1220.06","1.10814","-29.00%","-274.30","80.12","87.25%","Conagra","3.50","1601201284 - L2/L6","0.00","0.00000","100.00%","946.86","0.00","0.00000","100.00%","946.86","0.00","0.00000","946.86","0.86","0.00","0.00000","-28.85%","-273.20","","No","","1601201284","","","","CONAGRA-WC-29","Conagra","1601201284 Bigs 8Ct/5.00Oz Ss Pumpkin Seeds","","Finished Good","","","Stopped","946.86","60.12","0.86000","28.80%","164.48%","","L6","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","188.52%","1601201284 - 3210882-20","","2063476","","","","2020-Jan-17 08:25 AM","Reconciliation complete","L - 1601201284","","No","West Chicago","4.00000","25.91","0.02353","170.00000","945.76","0.85900","cs","1200.00000","1101.00000","99.00"
"4008545","4128.76","1.32928","-27.33%","-886.09","2020-Jan-17 03:30 PM","2020-Jan-17 04:30 AM","879.22","17.24","0.28307","72.78%","2351.02","0.00","0.00000","3249.54","1.04621","53.50","51.00","0.01429","44.39","4128.76","1.32928","-27.33%","-886.09","69.97","92.16%","Conagra","11.00","9688700294 - L5","0.00","0.00000","100.00%","3230.24","0.00","0.00000","100.00%","3230.24","0.00","0.00000","3230.24","1.04","0.00","0.00000","-27.82%","-898.52","","No","","9688700294","","","","CONAGRA-WC-74","Conagra","9688700294 Bigs 12Ct/5.35Oz Cracked Pepper Sunflower Seeds","","Finished Good","","","Stopped","3230.24","60.38","1.04000","27.11%","104.01%","","L3","","0.00000","0.00","0.00","0.00000","5.00","5","0.00","0.00000","0.00","0.00000","112.86%","9688700294 - 3210882-50","","2063466","","","","2020-Jan-17 03:40 PM","Reconciliation complete","L - 9688700294","","No","West Chicago","5.00000","50.10","0.01613","310.00000","3242.66","1.04400","cs","3255.00000","3106.00000","149.00"
